Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   36    1 0xffffff7f82136000 0x19000    0x19000    com.apple.iokit.IOSCSIBlockCommandsDevice (408.200.1) 49698A27-4262-35B9-9E19-0FE108416B54 <35 34 7 6 5 3 1>
   37    1 0xffffff7f82153000 0x2d000    0x2d000    com.apple.iokit.IOUSBMassStorageDriver (145.200.2) C9501B48-4947-3E28-A419-0729222A250E <35 34 31 7 6 5 3 1>
   38    1 0xffffff7f81329000 0xa000     0xa000     com.apple.kext.CoreTrust (1) 3BD2FF78-359B-3C2A-8775-EEDD0BE3F98B <9 5>
   39    5 0xffffff7f81333000 0x1d000    0x1d000    com.apple.driver.AppleMobileFileIntegrity (1.0.5) A69BF990-ABB3-3731-A7A2-9C1FB76BCF6F <38 9 8 7 6 5 3 2 1>
   40    1 0xffffff7f82187000 0x13000    0x13000    com.apple.driver.AppleUSBTDM (456.230.1) FED65615-C9CD-389E-9772-11B4B367398D <39 37 36 35 34 31 8 7 6 5 3 1>
   41    0 0xffffff7f8283c000 0x69000    0x69000    com.apple.driver.AppleKeyStore (2) 97DF2B63-D03E-3EA9-ABED-BA5C461521F6 <40 39 33 32 28 27 9 8 7 6 5 3 1>
   42    2 0xffffff7f818e0000 0xc000     0xc000     com.apple.driver.AppleEffaceableStorage (1.0) BE15F7D7-153A-3D24-8A9A-DAB34B23FCF6 <8 6 5 3 1>
   43    0 0xffffff7f828d1000 0xc000     0xc000     com.apple.driver.AppleFDEKeyStore (28.30) FD2A17B7-F835-32A9-9AE3-E70DEC0B0794 <42 9 8 7 6 5 3 1>
   44    0 0xffffff7f82cf5000 0x19000    0x19000    com.apple.driver.DiskImages (493.0.0) 81642D4E-F204-3227-8B31-BFC8CD1DDC32 <34 8 7 6 5 3 1>
   45    0 0xffffff7f81010000 0x5000     0x5000     as.vit9696.SMCProcessor (1.0.2) 907954A2-0D9C-3F6D-9F0F-64EBBF3E3AF5 <21 16 12 8 6 5 3 2 1>
   46    2 0xffffff7f81350000 0x5000     0x5000     com.apple.kext.AppleMatch (1.0.0d1) 462A2C25-732E-3F63-A15A-B2D7F984D9E9 <5 1>
   47    2 0xffffff7f81355000 0x31000    0x31000    com.apple.security.sandbox (300.0) 268A5FEF-68BE-35B1-886F-99DFB1B09B38 <46 39 34 8 7 6 5 3 2 1>
   48    1 0xffffff7f81386000 0x8000     0x8000     com.apple.security.quarantine (3) 101BC32B-C030-367E-8999-E63343838652 <47 46 8 7 6 5 2 1>
   49    0 0xffffff7f82cf2000 0x2000     0x2000     com.apple.security.TMSafetyNet (8) 4E59E1CA-F619-3AE7-9922-43C92A266A3B <8 7 6 5 2 1>
   50    0 0xffffff7f82de7000 0x9000     0x9000     com.apple.nke.applicationfirewall (190) 208D3667-B3E8-3404-9A96-5C1F169FC6F1 <8 7 6 5 3 1>
   51    0 0xffffff7f83113000 0x3000     0x3000     com.apple.driver.AppleAPIC (1.7) 46FCC78F-7A9E-3614-A5F6-EEF2A50A4A67 <13 5 3>
   52    0 0xffffff7f827b5000 0x4000     0x4000     com.apple.driver.AppleSMBIOS (2.1) F94DD634-8A7E-3C1F-B014-97F99EDF4C08 <8 5 3>
   53   15 0xffffff7f815d3000 0x4b000    0x4b000    com.apple.iokit.IOGraphicsFamily (530.14) C5617AC3-A68D-36CE-AC22-7C7C81318961 <13 8 6 5 3 1>
   54    4 0xffffff7f81e04000 0x10000    0x10000    com.apple.iokit.IONDRVSupport (530) 1F572217-4A67-3472-A183-142F10A584D2 <53 13 8 6 5 3>
   55    1 0xffffff7f82c84000 0x6000     0x6000     com.apple.driver.AppleBacklightExpert (1.1.0) BBD31948-BD3D-3EBB-A3EE-E3880346A5EB <54 53 14 13 6 5 3>
   56    0 0xffffff7f82c8a000 0x5000     0x5000     com.apple.driver.AppleBacklight (170.12.11) B0CE7EF6-EB1D-31FC-8189-F9568E6FB4EA <55 54 53 13 6 5 3>
   57    0 0xffffff7f82af6000 0x3000     0x3000     com.apple.driver.AppleHPET (1.8) 784E4E15-3762-3886-9A11-33AF0A9810C1 <12 8 6 5 3>
   58    0 0xffffff7f81da7000 0x8000     0x8000     com.apple.driver.AppleRTC (2.0) EAEEF651-7908-38EF-A817-ABE0D6005CBC <12 8 6 5 3 1>
   59    4 0xffffff7f8139b000 0x7e000    0x7e000    com.apple.iokit.IOHIDFamily (2.0.0) 2AEFB432-C333-3CFC-955E-24BBDDDE0F5E <8 7 6 5 3 2 1>
   60    0 0xffffff7f8227b000 0x4000     0x4000     com.apple.driver.AppleACPIButtons (6.1) 3A808674-21BD-3358-BFA7-1E99B3006D82 <59 26 15 12 8 7 6 5 3 1>
   61    2 0xffffff7f814fb000 0x5000     0x5000     com.apple.driver.AppleEFIRuntime (2.1) 789934D3-2534-3DD3-BA30-DB4CF52D9D7B <8 7 6 5 3>
   62    0 0xffffff7f82271000 0x7000     0x7000     com.apple.driver.AppleACPIEC (6.1) 09C19168-9108-38CE-82D8-50D1DE18743A <59 26 22 15 12 8 7 6 5 3 1>
   63    2 0xffffff7f81500000 0xb000     0xb000     com.apple.driver.AppleEFINVRAM (2.1) E68F9756-227E-3378-8E22-F37409594A7F <61 8 7 6 5 3 1>
   64    1 0xffffff7f81727000 0x56000    0x56000    com.apple.driver.usb.AppleUSBXHCI (1.2) 7F694937-2965-3985-B5D1-95642D87688C <31 30 12 8 7 6 5 3 1>
   65    0 0xffffff7f81824000 0x2f000    0x2f000    com.apple.driver.usb.AppleUSBXHCIPCI (1.2) 94B23905-04C8-311B-9221-AAB88975A25D <64 31 30 13 12 8 7 6 5 3 1>
   66    1 0xffffff7f8169a000 0xa000     0xa000     com.apple.driver.AppleIntelLpssI2C (3.0.60) A17CBDB7-AC1E-32C4-A767-CB449DA30DDE <13 12 8 6 5 3>
   68    2 0xffffff7f8233b000 0x1a000    0x1a000    com.apple.iokit.IOAHCIFamily (288) 4C9B6D3B-8F1D-33CB-8CCB-89CAD0A485BC <6 5 3 1>
   69    0 0xffffff7f82ccf000 0x14000    0x14000    com.apple.driver.AppleAHCIPort (329.200.2) 871E1927-7110-3DEF-A741-136D53AE8A90 <68 13 6 5 3 1>
   70    1 0xffffff7f816a4000 0x8000     0x8000     com.apple.driver.AppleIntelLpssDmac (3.0.60) 08252E8A-EF4D-3F0A-BC73-0946456BBC4D <13 12 6 5 3>
   71    0 0xffffff7f816ac000 0x19000    0x19000    com.apple.driver.AppleIntelLpssI2CController (3.0.60) 47969045-3C6A-3299-9FDD-4E3DC89E2010 <70 66 12 8 6 5 3>
   72    0 0xffffff7f8211d000 0xb000     0xb000     com.apple.driver.AppleSmartBatteryManager (161.0.0) 62A2F191-3643-308E-97E2-26764919E8BC <22 12 6 5 3 1>
   73    2 0xffffff7f8150b000 0x9b000    0x9b000    com.apple.iokit.IOUSBFamily (900.4.2) 3E59E6AE-1814-3BCA-AC64-EB7B169C1F9D <31 30 13 8 6 5 3 1>
   74    0 0xffffff7f8181f000 0x5000     0x5000     com.apple.driver.usb.AppleUSBHostPacketFilter (1.0) 327589D5-3A3E-3CDC-BC35-9870B71D205A <31 30 8 7 6 5 3 1>
   75    0 0xffffff7f8138e000 0x8000     0x8000     com.apple.AppleSystemPolicy (1.0) D8F52D1B-4DFD-3FC4-8BD1-EA7FFAB5252F <48 47 39 8 7 6 5 3 2 1>
   76    1 0xffffff7f815c5000 0x8000     0x8000     com.apple.filesystems.hfs.encodings.kext (1) DFFDAA59-E96C-3154-AEF7-57615129D7C3 <8 7 6 5 3 1>
   77    0 0xffffff7f8165d000 0xd000     0xd000     com.apple.AppleFSCompression.AppleFSCompressionTypeZlib (1.0.0) B6A59F0D-6ADB-3F6A-B70A-6F5545152C05 <7 5 3 2 1>
   78    0 0xffffff7f81c41000 0xe000     0xe000     com.apple.BootCache (40) 03E7E1A0-D640-3D55-8BEE-74D808894BE6 <8 7 6 5 3 1>
   79    0 0xffffff7f82597000 0x3000     0x3000     com.apple.AppleFSCompression.AppleFSCompressionTypeDataless (1.0.0d1) AEA21480-0918-3103-B57F-5E9E75630122 <8 7 5 3 2 1>
   80    0 0xffffff7f82afb000 0x69000    0x69000    com.apple.filesystems.hfs.kext (407.200.4) 1ECE1137-785A-3934-8CFB-F726BE37EF5F <76 8 7 6 5 3 1>
   81    2 0xffffff7f82a37000 0xe000     0xe000     com.apple.iokit.IOSerialFamily (11) 663F512E-C819-3D9C-93E3-AC6C07F27A9D <8 7 6 5 3 1>
   82    0 0xffffff7f82d4e000 0x13000    0x13000    com.apple.driver.AppleVirtIO (2.1.2) 15515BF4-BE55-36AC-889A-4B1BB2858526 <81 34 13 6 5 3 1>
   84    0 0xffffff7f814e2000 0x8000     0x8000     com.apple.driver.usb.AppleUSBHostCompositeDevice (1.2) 366036F0-AC1A-3B73-A6F6-90816E48D751 <31 30 7 6 5 3 1>
   85    0 0xffffff7f81689000 0x8000     0x8000     com.apple.driver.usb.networking (5.0.0) 28ED5A1D-DF6B-3836-9A7D-572F57623449 <31 7 6 5 3 1>
   88    2 0xffffff7f81abe000 0xce000    0xce000    com.apple.vecLib.kext (1.2.0) 9CF55BF4-B8F5-3605-87A6-7149E13F461B <10 7 6 5 3>
   89    4 0xffffff7f81b8c000 0x3f000    0x3f000    com.apple.iokit.IOAudioFamily (206.5) 2D823CAE-0134-3F4A-9C86-795C749DDF4B <88 6 5 3 1>
   90    0 0xffffff7f814ea000 0xc000     0xc000     com.apple.driver.usb.IOUSBHostHIDDevice (1.2) ABD85FB9-07A4-37BC-AEC4-753BDE10F506 <59 31 30 6 5 3 1>
   92    0 0xffffff7f82365000 0x27000    0x27000    com.apple.iokit.IOAHCIBlockStorage (301.200.2) 64DC26B2-7817-3E86-BE80-ABB84BFE253C <68 63 34 7 6 5 3 1>
   94    1 0xffffff7f81972000 0x100000   0x100000   com.apple.filesystems.apfs (945.230.6) 60380132-AE9F-3720-B7BF-1653155D78BD <42 34 9 8 7 6 5 3 1>
   95    2 0xffffff7f8259b000 0x22000    0x22000    com.apple.iokit.IOSurface (255.1) CAF77C5D-98FF-33D0-B31C-FC327D7AD4F6 <8 7 6 5 3 1>
   96    2 0xffffff7f825bf000 0xa5000    0xa5000    com.apple.iokit.IOAcceleratorFamily2 (404.2.2) FA92A03C-F113-384A-9B1F-B2C52DE7F4D2 <95 53 39 26 13 8 7 6 5 3 1>
   97    5 0xffffff7f818ec000 0x9000     0x9000     com.apple.AppleGraphicsDeviceControl (3.28.4) 400C2E21-0880-36D7-AC5E-6B9BC885F158 <53 13 8 7 6 5 3 1>
   98    0 0xffffff7f82e03000 0x204000   0x204000   com.apple.driver.AppleIntelKBLGraphicsFramebuffer (12.0.4) 0E71EF1C-A01B-354E-987D-476E0029C6ED <97 96 53 26 13 12 8 7 6 5 3 1>
   99    1 0xffffff7f8162b000 0x5000     0x5000     com.apple.iokit.IOSlowAdaptiveClockingFamily (1.0.0) 92EE1DF0-90B6-370E-A9E6-347E2ED903FC <8 7 6 5 3 1>
  100    0 0xffffff7f82a33000 0x2000     0x2000     com.apple.driver.AppleIntelSlowAdaptiveClocking (4.0.0) 6C2A218B-5497-357B-9B3D-5F6AB495DA6D <99 5 3>
